Emotion,Sentence
Sad,গত পাঁচ দিনে মোট ৬ লাখ ১৬ হাজার মানুষ আক্রান্ত হয়েছেন।
Surprise,টানা চার দিন লক্ষাধিক করে মানুষ আক্রান্ত হলো ভারতে।
Surprise,গত ২৪ ঘণ্টায় নতুন করে ৭৯৪ জন মারা গেছেন।
Surprise,দেশটিতে মোট ১ লাখ ৬৮ হাজার ৪৩৬ জনের মৃত্যু হয়েছে।
Surprise,গত পাঁচ দিনে মোট ৬ লাখ ১৬ হাজার মানুষ আক্রান্ত হয়েছেন।
Surprise,দেশটির নিয়ন্ত্রক সংস্থাগুলো আজ শনিবার এই বিপুল পরিমাণ আর্থিক জরিমানা করেছে।
Happy,এসব ঘটনা পর্যালোচনা করার সিদ্ধান্ত নিয়েছে ইউরোপের ওষুধ নিয়ন্ত্রক সংস্থা ইউরোপিয়ান মেডিসিনস
Surprise,একটি ময়লার ট্রাকে চড়ে জঙ্গলের মধ্য দিয়ে সীমান্ত পাড়ি দেন তিনি।
Surprise,তাঁদের মধ্যে চারজনকে নিজেদের দলের বলে দাবি করেছে তৃণমূল কংগ্রেস।
Surprise,আর একজন ভারতীয় জনতা পার্টি (বিজেপি) ও তৃণমূলের
Sad,তবে এই সমস্যার একটি সাধারণ সমাধান সবার সামনেই রয়েছে
Surprise,গতকাল শুক্রবার রাতে এ অগ্নিকাণ্ডের ঘটনা ঘটে।
Sad,ওই হাসপাতালে কোভিড-১৯ রোগের চিকিৎসা দেওয়া হতো।
Sad,আগুনে হাসপাতালের চার ব্যক্তির মৃত্যু
Sad,"এর মধ্যে সবচেয়ে আলোচিত প্রশ্নটি হলো, বাম ফ্রন্ট-কংগ্রেস-ইন্ডিয়ান সেক্যুলার ফ্রন্টের (আইএফএফ) সংযুক্ত মোর্চা কেমন ফল করবে।"
Happy,ইতিমধ্যে সরকারি সব ভবনে জাতীয় পতাকা অর্ধনমিত করা হয়েছে
Happy,আজ শনিবার স্থানীয় সময় সকাল সাতটা থেকে ভোট শুরু হয়েছে।
Happy,পাঁচ জেলার ৪৪টি আসনে ভোট চলবে সন্ধ্যা সাতটা পর্যন্ত।
Surprise,আজই সবচেয়ে বেশি তারকা
Surprise,সম্প্রতি এ ধরনের কৃত্রিম উপগ্রহ ব্যবহার করে ইকুয়েডরের জলসীমায় অবৈধ নৌযানের অবস্থান শনাক্ত করা হয়েছে।
Sad,কোনোভাবেই আয়ত্তে আনতে পারছেন না স্বাস্থ্য বিশেষজ্ঞরা।
Sad,"যাঁরই করোনা হচ্ছে, তাঁকে যেতে হয় মানবিক এক বিপর্যয়ের মধ্য দিয়ে।"
Surprise,পরিচালনা করেছে ‘ফ্রিডম অব নেভিগেশন’ নামে অভিযান।
Fearful,এ ঘটনায় উদ্বিগ্ন নয়াদিল্লি।
Happy,কর্মমুখর দিন পার করছিলেন শ্রমিকেরা।
Fearful,হঠাৎই শোরগোল।
Surprise,"নির্বাচন কমিশন বলেছে, গত ২৮ মার্চ এবং ৭ এপ্রিল মমতা বন্দ্যোপাধ্যায় নির্বাচনী প্রচারে"
Happy,"কেন্দ্রীয় স্বাস্থ্যসচিব রাজেশ ভূষণ মঙ্গলবার বলেন, যাঁদের প্রয়োজন সবচেয়ে বেশি, তাঁদেরই প্রথমে টিকা দেওয়া হচ্ছে।"
Happy,জুলাই পর্যন্ত এমন চলবে।
Sad,"কারণ, পর্যাপ্ত টিকা নেই।"
Surprise,"নীতি আয়োগের সদস্য ভি কে পল আবার এক ধাপ এগিয়ে বলেন, সময়ে সবাইকে টিকা দেওয়া হবে।"
Happy,সরকারের এই মনোভাবের প্রতিবাদ করেছেন কংগ্রেস নেতা রাহুল গান্ধী।
Surprise,"বুধবার এক টুইটে তিনি সরকারকে কটাক্ষ করে বলেন, ‘টিকা কারা চান ও কাদের প্রয়োজন, সেই বিতর্ক হাস্যকর।"
Surprise,"কারণ, পর্যাপ্ত টিকা নেই।"
Angry,প্রত্যেক ভারতীয়র নিরাপদ জীবন পাওয়ার অধিকার রয়েছে।’
Happy,"কেন্দ্রীয় স্বাস্থ্যসচিব রাজেশ ভূষণ মঙ্গলবার বলেন, যাঁদের প্রয়োজন সবচেয়ে বেশি, তাঁদেরই প্রথমে টিকা দেওয়া হচ্ছে।"
Happy,জুলাই পর্যন্ত এমন চলবে।
Sad,"কারণ, পর্যাপ্ত টিকা নেই।"
Surprise,"নীতি আয়োগের সদস্য ভি কে পল আবার এক ধাপ এগিয়ে বলেন, সময়ে সবাইকে টিকা দেওয়া হবে।"
Happy,সরকারের এই মনোভাবের প্রতিবাদ করেছেন কংগ্রেস নেতা রাহুল গান্ধী।
Surprise,"বুধবার এক টুইটে তিনি সরকারকে কটাক্ষ করে বলেন, ‘টিকা কারা চান ও কাদের প্রয়োজন, সেই বিতর্ক হাস্যকর।"
Surprise,"কারণ, পর্যাপ্ত টিকা নেই।"
Angry,প্রত্যেক ভারতীয়র নিরাপদ জীবন পাওয়ার অধিকার রয়েছে।’
Fearful,"সামান্য ঝড়ে এত প্রাণহানি, এড়ানো যেত কি"
Surprise,২০০০ কোটি টাকা পড়ে আছে
Sad,অনিশ্চয়তায় এসএসসি এইচএসসি পরীক্ষা
Fearful,সবচেয়ে ঝুঁকিপূর্ণ এখন রূপনগর ও আদাবর
Disgust,ভেজাল মদের চক্রে ৩০ জন
Disgust,৯০ হাজার রোগীর চিকিৎসা চলছে হাসপাতালের বাইরে
Fearful,চীন-রাশিয়ার টিকায় আস্থা রাখার এখনই সময়
Happy,‘ভালো ফলের’ আশা সংযুক্ত মোর্চার
Sad,৬ মাস ভাতা পাচ্ছেন না ৭৬ লাখ দরিদ্র মানুষ
Fearful,এখন বেশি ঝুঁকি বাজার–গণপরিবহনে
Sad,৯০ হাজার রোগীর চিকিৎসা চলছে হাসপাতালের বাইরে
Happy,চীন-রাশিয়ার টিকায় আস্থা রাখার এখনই সময়
Happy,‘ভালো ফলের’ আশা সংযুক্ত মোর্চার
Sad,৬ মাস ভাতা পাচ্ছেন না ৭৬ লাখ দরিদ্র মানুষ
Sad,এখন বেশি ঝুঁকি বাজার–গণপরিবহনে
Fearful,"হোম অফিস, অনলাইন ক্লাসের সঙ্গে সাইবার ঝুঁকিও বাড়ছে"
Surprise,৬৪% নারী কর্মী দালালদের টাকা দিয়ে মধ্যপ্রাচ্যে যান
Fearful,ভারতে সাংবাদিক হেনস্তায় উদ্বেগ বাড়ছে
Happy,করোনার অ্যান্টিজেন পরীক্ষা বেড়েছে
Fearful,"দেশে এখন পর্যন্ত যাঁরা করোনায় আক্রান্ত হয়েছেন, তাঁদের বড় অংশই হয় বাজারে গেছেন, নয়তো গণপরিবহন ব্যবহার করেছেন।"
Surprise,তাঁরা প্রধানত টেলিমেডিসিনের ওপর নির্ভরশীল।
Fearful,তবে এসব রোগী স্বাস্থ্য অধিদপ্তরের মাধ্যমে কতটা কার্যকর সেবা পাচ্ছে?
Happy,তবে এই সমস্যার একটি সাধারণ সমাধান সবার সামনেই রয়েছে
Fearful,"এর মধ্যে সবচেয়ে আলোচিত প্রশ্নটি হলো, বাম ফ্রন্ট-কংগ্রেস-ইন্ডিয়ান সেক্যুলার ফ্রন্টের (আইএফএফ) সংযুক্ত মোর্চা কেমন ফল করবে।"
Happy,চার বছর ধরে তিনি বয়স্ক ভাতা পাচ্ছেন।
Sad,তবে তাঁর এ ভাতা বন্ধ আছে গত ছয় মাস।
Sad,একই রকম সমস্যায় পড়েছেন কল্যাণপুরে
Fearful,"দেশে এখন পর্যন্ত যাঁরা করোনায় আক্রান্ত হয়েছেন, তাঁদের বড় অংশই হয় বাজারে গেছেন, নয়তো গণপরিবহন ব্যবহার করেছেন।"
Surprise,তাঁরা প্রধানত টেলিমেডিসিনের ওপর নির্ভরশীল।
Fearful,তবে এসব রোগী স্বাস্থ্য অধিদপ্তরের মাধ্যমে কতটা কার্যকর সেবা পাচ্ছে?
Surprise,তাঁর সব ধরনের তথ্য সেখানে রয়েছে।
Surprise,"এমনকি তিনি কোন কোন সাইটে গেছেন, কোথায় কী"
Disgust,ভালো কাজের প্রলোভন দেখিয়ে টাকা বাগিয়ে নিচ্ছেন মধ্যস্বত্বভোগী বা দালালেরা।
Disgust,আর কর্মী পাঠাতে নানা ধরনের অনিয়মের আশ্রয় নিচ্ছেন তাঁরা
Happy,অল্প বয়সী এই সাংবাদিক বিভিন্ন পোর্টালে নিয়মিত লেখালেখি করেন।
Sad,গত বছর অক্টোবর মাসে দলিত সম্প্রদায়ের এক কিশোরীর গণধর্ষণ ও মৃত্যুর
Happy,এখন দিনে ৬০০টির মতো অ্যান্টিজেন পরীক্ষা হচ্ছে।
Happy,আরও বাড়ানোর তাগিদ।
Sad,সংক্রমণের দ্বিতীয় ঢেউ শুরু হতেই যাত্রী কমে গেছে
Sad,তবে গত বছরের মাঝামাঝি থেকে প্রবাসীদের মৃত্যুর হিসাবে যুক্তরাষ্ট্রকে ছাড়িয়ে যেতে
Fearful,"দুটি প্রধান হাসপাতালের চিকিৎসকেরা বলেছেন, করোনায় আক্রান্ত হওয়ার পর রোগীরা তীব্র উপসর্গ নিয়ে হাসপাতালে ভর্তি হচ্ছেন।"
Sad,তাঁদের অবস্থা খুব শোচনীয়
Happy,"মূলত, মার্কিন প্রেসিডেন্টের পক্ষে জলবায়ুবিষয়ক ভার্চ্যুয়াল শীর্ষ সম্মেলনে প্রধানমন্ত্রী"
Fearful,দুই তালিকায় গরমিল ৪ জন।
Sad,"পরিবারগুলোর দাবি, গুলিতে মারা গেছে সবাই।"
Fearful,সরকারি বিধিনিষেধের দ্বিতীয় দিনেই দেশে মৃত্যু ও শনাক্তের ক্ষেত্রে আগের সব রেকর্ড ছাড়িয়ে গেছে।
Surprise,এই ৮১ বছর বয়সে স্বজনদের উৎসাহে অনলাইনে খাবারের ব্যবসা শুরু করেছিলেন।
Happy,অর্ডারও আসছিল বেশ।
Happy,যা কিছুই রাঁধতেন অল্প করে ছোট্ট একটা বক্সে তুলে রাখতেন
Sad,করোনাভাইরাসের সংক্রমণ
Happy,টেলিমেডিসিন
Happy,নিউইয়র্ক টাইমসে প্রকাশিত নিবন্ধ
Happy,পশ্চিমবঙ্গ বিধানসভা নির্বাচন
Surprise,তথ্যপ্রযুক্তি খাত
Happy,গণমাধ্যমের স্বাধীনতা
Fearful,করোনার দ্বিতীয় ঢেউ
Happy,টেলিমেডিসিন
Happy,নিউইয়র্ক টাইমসে প্রকাশিত নিবন্ধ
Happy,পশ্চিমবঙ্গ বিধানসভা নির্বাচন
Happy,গণমাধ্যমের স্বাধীনতা
Fearful,ব্রাহ্মণবাড়িয়ায় সহিংসতা–২
Surprise,স্বাধীনতার সুবর্ণজয়ন্তীর কর্মসূচি
Fearful,করোনা মহামারি
Sad,আজও অম্লান মার্কিন বিশ্বসংস্কৃতি
Fearful,আওয়ামী লীগ-হেফাজত যখন একাকার
Surprise,১০ এপ্রিল ইতিহাসের মোড় পরিবর্তনকারী দিন
Fearful,প্রজা থেকে নাগরিকে উত্তরণে আর কত দিন লাগবে
Fearful,মাঠ প্রশাসনের নিরাপত্তা
Sad,গরম বাতাসে ধান চিটা
Fearful,দুর্গ মানসিকতা বনাম জনগণের নিরাপত্তা
Fearful,বিদ্যুৎ আমদানির কি আর দরকার আছে
Angry,আইনশৃঙ্খলা বাহিনীর জবাবদিহি কোথায়
Happy,বছরের সেরা কৌতুক
Happy,আহলান সাহলান খোশ আমদেদ মাহে রমজান
Surprise,করোনাভাইরাসের আফ্রিকান ধরন
Surprise,"ছিল পুকুর, হয়ে গেল ভিটা!"
Fearful,আফগানিস্তানে চতুর্মুখী চাপে যুক্তরাষ্ট্র
Happy,লুলার মুক্তিতে আরেক গোলাপি ঢেউয়ের আশা
Fearful,বাইডেনের মানবাধিকারের প্রতিশ্রুতির কী হবে
Fearful,প্রবীণেরা তবে যাবেন কোথায়
Angry,দলীয় রাজনীতির ওপর ‘লকডাউন’ প্রয়োজন
Sad,"বিদায়, বাংলাদেশ-দরদি পিটার হ্যাজেলহার্টস"
Sad,সাম্প্রতিক ধ্বংসযজ্ঞ
Sad,তিন মাস ধরে অবরুদ্ধ গ্রাম
Sad,করোনার নতুন ঢেউ মোকাবিলায় যা যা করা যায়
Happy,মার্কিন প্রেসিডেন্ট জো বাইডেনের অভিষেকে আমান্ডা গোরমানের কবিতা ‘দ্য হিল উই ক্লাইম্ব’-এর স্মরণীয় আবৃত্তি লাখ লাখ মানুষকে স্পর্শ করেছে।
Happy,"রাজনীতি সুস্থ ও স্বাভাবিক ধারায় না চলায় বাংলাদেশের গণতন্ত্র কীভাবে মুখ থুবড়ে পড়েছে, তার বিস্তারিত ব্যাখ্যা দিয়েছেন যুক্তরাষ্ট্রের ইলিনয় স্টেট ইউনিভার্সিটির রাজনীতি ও সরকার বিভাগের ডিস্টিংগুইশড"
Sad,মুক্তিযুদ্ধের নেতৃত্বদানকারী মুজিবনগর সরকার এবং স্বাধীনতার সঙ্গে সম্পৃক্ত পুরোধা ব্যক্তিদের যথাযোগ্য মর্যাদার সঙ্গে স্মরণ না করেই পালিত হলো স্বাধীনতার সুবর্ণজয়ন্তী।
Sad,রিপাবলিক–এর অনুবাদ হিসেবে ‘প্রজাতন্ত্র’ শব্দটা কেমন যেন।
Happy,"সাম্প্রতিক কিছু ঘটনার পরিপ্রেক্ষিতে মাঠ প্রশাসনের নিরাপত্তা নিয়ে জনপ্রশাসনের শীর্ষস্থানীয় কর্মকর্তারা যে উদ্বেগ প্রকাশ করেছেন, তা অযৌক্তিক নয়।"
Sad,"গুপী-বাঘা ভূতের রাজার কাছে খাওয়ার–পরার, যেখানে খুশি যাওয়ার ও মানুষকে মোহাবিষ্ট করার মতো গান গাওয়ার ক্ষমতা অর্জনের বর চেয়েছিল।"
Surprise,থানায় হামলা হয়েছে ব্রাহ্মণবাড়িয়া আর ফরিদপুরে অথচ মেশিনগান বসেছে সিলেট ও নারায়ণগঞ্জের কয়েকটি থানার সামনে। বালুর বস্তার পেছনে লাইট মেশিনগান কী বার্তা দিচ্ছে আসলে?
Happy,সবদিক বিবেচনায় সৌরবিদ্যুতই বাংলাদেশের টেকসই জ্বালানির ভবিষ্যৎ। সৌরবিদ্যুৎ বিক্রির অবকাঠামো তৈরি করা গেলে ‘সৌরবাড়ি বিপ্লব’ হবে।
Surprise,পৃথিবীতে দুই ধরনের খুন অবৈধ নয়।
Happy,রিডার্স ডাইজেস্ট মাঝেমধ্যেই সেরা কৌতুক নির্বাচন করে থাকে।
Happy,শুভেচ্ছা স্বাগত মাহে রমজান।
Fearful,করোনাভাইরাসের সংক্রমণ এবং এ রোগে মৃত্যুর নতুন নতুন রেকর্ড সৃষ্টি হচ্ছে প্রতিদিন।
Angry,"‘বাংলাদেশ পরিবেশ সংরক্ষণ আইন, ১৯৯৫ ’-এ পরিষ্কার বলা আছে, ‘অন্য কোনো আইনে যাহা কিছুই থাকুক না কেন, জলাধার হিসাবে চিহ্নিত জায়গা ভরাট করা যাইবে না।’"
Surprise,এপ্রিলের মধ্যে আফগানিস্তান থেকে যুক্তরাষ্ট্রের সৈন্য প্রত্যাহারের কথা ছিল।
Sad,২০২২ সালের প্রেসিডেন্টে নির্বাচনে লুলার প্রতিদ্বন্দ্বিতার বিষয়টি এখনো সম্পূর্ণ পরিষ্কার নয়।
Happy,মার্কিন সিনেটে প্রেসিডেন্ট জো বাইডেনের ক্যারিয়ার দীর্ঘ।
Fearful,৯ ফেব্রুয়ারি বিষের বোতল হাতে মেহেরপুর জেলা প্রশাসকের কাছারিতে হাজির হয়েছিলেন মুসা করিম।
Sad,মনটা বিষণ্ন ও ভারাক্রান্ত।
Surprise,লন্ডন টাইমস-এর পাঠকদের নিয়মিত মুক্তিযুদ্ধের গতিপ্রকৃতি সম্পর্কে অবহিত করেছেন পিটার হ্যাজেলহার্টস।
Surprise,"হেফাজতের বিক্ষোভকে কেন্দ্র করে ব্রাহ্মণবাড়িয়া, চট্টগ্রামের হাটহাজারীসহ বিভিন্ন স্থানে প্রায় ১০০ কোটি টাকার সম্পদ ক্ষতিগ্রস্ত হয়েছে বলে জানিয়েছেন স্বরাষ্ট্রমন্ত্রী"
Surprise,অতিমারির বদৌলতে ইংরেজি ‘লকডাউন’ শব্দটি এখন ক অক্ষর গোমাংসের কাছেও আর দুর্বোধ্য কোনো শব্দ নয়।
Fearful,আমরা সবাই সমান ঝুঁকিতে আছি।
Happy,কবিতাটা অনুবাদ করানোর জন্য শীর্ষস্থানীয় এক ওলন্দাজ প্রকাশকের
Sad,এতে আমাদের জাতির গৌরব বাড়েনি।
Happy,"প্রজাতন্ত্রে প্রজাদের ইচ্ছায়ই চলবে সব, তাঁরাই হবেন সিদ্ধান্ত নেওয়ার মালিক।"
Surprise,"কিন্তু রিপাবলিকে তো প্রজা থাকার কথা নয়, থাকার কথা নাগরিক"
Fearful,গত কয়েক দিনে বেশ কিছু স্থানে থানা-পুলিশ আক্রান্ত হয়েছে
Sad,এ দেশের চাষিদের ‘যেথা খুশি সেথা যাওয়ার’ কিংবা অভিজাত সমঝদার সমাজকে
Happy,সর্বোচ্চ ঘনবসতির দেশে বায়ুবিদ্যুতেরও প্রসার চাই।
Surprise,প্রথমটি হচ্ছে সুষ্ঠু বিচারের মাধ্যমে কাউকে মৃত্যুদণ্ড দেওয়া।
Surprise,দ্বিতীয় বৈধ খুন হচ্ছে আত্মরক্ষার্থে কাউকে মেরে ফেলা।
Fearful,কিন্তু এর বহু শর্ত আছে বিভিন্ন দেশের ফৌজদারি আইনে।
Happy,এবারও করেছে।
Happy,তাদের কৌতুকের তালিকায় এই মুহূর্তে এক নম্বরে আছে: দুই বন্ধু শিকারে গেছে জঙ্গলে।
Fearful,এর মধ্যে একজন হঠাৎ মাথা ঘুরে পড়ে গেছে।
Happy,"আল্লাহ তাআলা কোরআন মাজিদে বলেন, ‘রমজান মাস, এতে মানুষের দিশারি এবং সৎ পথের স্পষ্ট নিদর্শন ও সত্যাসত্যের পার্থক্যকারীরূপে কোরআন অবতীর্ণ হয়েছে।"
Fearful,সংক্রমণের উল্লম্ফন বিস্ময়কর ও উদ্বেগজনক।
Fearful,"সংক্রমণের ১২তম মাসের তুলনায় পরের মাসে সংক্রমণ বেড়েছে ৭৪৪ শতাংশ, মৃত্যু বেড়েছে"
Sad,কিন্তু তার কোনো লক্ষণ দেখা যাচ্ছে না।
Disgust,বরং সেনা ফিরিয়ে নিতে গড়িমসি করছে যুক্তরাষ্ট্র
Disgust,তবে লুলার এই প্রত্যাবর্তনে লাতিন আমেরিকায় আধিপত্যবাদবিরোধী আন্দোলনে সুদিন ফিরবে নিঃসন্দেহে।
Happy,সিনেটর থাকাকালে তিনি যুক্তরাষ্ট্রের পররাষ্ট্রনীতিতে মানবাধিকারের বিষয় সংযুক্তির বিষয়ে বরাবরই উচ্চকিত থেকেছেন।
Happy,এখন তিনি নিজে প্রেসিডেন্ট
Angry,৮০ পেরোনো এই মানুষটিকে বাড়ি থেকে বের করে দিয়েছে পুত্রবধূ ও নাতি।
Happy,মুজিবনগর উপজেলার কোমরপুরে তাঁর বাড়ি
Sad,"দেশ-বিদেশ থেকে কেবল ফোন পাচ্ছি হাসপাতালে বেড, আইসিইউ ব্যবস্থা করার জন্য।"
Sad,প্রথমে অর্থনীতি বিভাগের বন্ধু ও সরকারি চাকরিতে ব্যাচমেটের জন্য।
Surprise,এসব প্রতিবেদন তাঁকে এনে দিয়েছিল ব্রিটেনের বর্ষসেরা আন্তর্জাতিক প্রতিবেদকের পুরস্কার।
Happy,‘কোলকেতার তলায়’ থাকা প্রান্তিক মানুষটিও এখন জানে করোনাভাইরাসের প্রকোপ মোকাবিলায় বৃহত্তর জনগোষ্ঠীর অস্তিত্ব
Happy,"প্রত্যেক ব্যক্তির, তার মধ্যে সবচেয়ে দরিদ্রতম ব্যক্তিটিও থাকবেন, সুরক্ষাই কেবল করোনা থেকে সবার সুরক্ষা নিশ্চিত করবে—মানুষের মধ্যে এ সচেতনতা ছড়িয়ে দিতে হবে।"
Fearful,১৪ এপ্রিল থেকে সর্বাত্মক লকডাউনের চিন্তা
Sad,মহামারি মোকাবিলায় ব্যর্থ সরকার বিএনপি দমনে মরিয়া
Angry,নেতাদের নামে মামলা প্রত্যাহারের
Surprise,"সালথার ক্ষতিগ্রস্ত এলাকায় আ.লীগ নেতারা, ৫ মামলায় ৪ হাজার আসামি"
Disgust,বিএনপি আন্দোলনে ব্যর্থ হয়ে হেফাজতের ওপর ভর করছে
Disgust,"হেফাজত ইস্যুতে ঢাবি ছাত্রলীগ নেতাকে হেনস্তায় মামলা, আ.লীগ নেতাসহ গ্রেপ্তার ২"
Sad,‘শিশু বক্তা’ রফিকুল মাদানী আটক
Sad,সীমা অতিক্রম করলে পরিণতি হবে ভয়াবহ
Sad,হেফাজতের হরতাল নারায়ণগঞ্জের কাউন্সিলর ইকবালকে আটক
Sad,হেফাজতের পক্ষে মিছিল থেকে হামলায় আহত আ.লীগ কর্মীর মৃত্যু
Disgust,"হেফাজতকে নিয়ে ফেসবুকে পোস্ট, ঢাবি ছাত্রলীগের নেতাকে আটকে পুলিশের সামনে হেনস্তা"
Disgust,আলেমদের বিরুদ্ধে কুৎসা রটানোর অভিযোগ খেলাফত মজলিসের
Angry,লকডাউনে শ্রমিকদের মাসিক অনুদান দিতে হবে
Surprise,সরকারের দুটি চ্যালেঞ্জের কথা জানালেন সেতুমন্ত্রী
Disgust,মামুনুলের পক্ষে পোস্ট দিয়ে ছাত্রলীগ নেতা বহিষ্কৃত
Sad,"সরকারি হিসাবে নিহত ১৭ জন, বেশির ভাগই সাধারণ মানুষ"
Fearful,প্রশাসনের লোকজন আমাকে গুমের চেষ্টা করে
Angry,রিসোর্টে মামুনুল হক ও তাঁর স্ত্রীকে হেনস্তাকারীদের শাস্তির দাবি হেফাজতের
Surprise,হঠাৎ ব্রাহ্মণবাড়িয়া প্রেসক্লাবে হেফাজতের নেতারা
Fearful,ব্রাহ্মণবাড়িয়ার ঘটনায় তৃতীয় রাষ্ট্রের ইন্ধন রয়েছে
Sad,খালেদা জিয়ার প্রেস সচিব মারুফ কামালকে অব্যাহতি
Happy,প্রধানমন্ত্রীর বক্তব্যে ধর্ম ব্যবসায়ীদের মুখোশ খুলে গেছে
Angry,দাবি হেফাজত আমিরের
Surprise,"আওয়ামী লীগ সাধারণ সম্পাদক ও সরকারের জ্যেষ্ঠ মন্ত্রী ওবায়দুল কাদের বলেছেন, ১৪ এপ্রিল থেকে এক সপ্তাহের জন্য সর্বাত্মক লকডাউনের বিষয়ে সক্রিয় চিন্তাভাবনা করছে সরকার"
Sad,মহামারি মোকাবিলায় ব্যর্থ সরকার মিথ্যা মামলা দিয়ে বিএনপির নেতা–কর্মীদের দমন করতে মরিয়া হয়ে উঠেছে বলে অভিযোগ করেছেন দলটির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীর।
Sad,হেফাজতে ইসলামের মহাসচিব নুরুল ইসলাম জিহাদিসহ ১৭ জন নেতার বিরুদ্ধে করা মামলা ‘মিথ্যা ও ষড়যন্ত্রমূলক’ উল্লেখ করে প্রত্যাহারের দাবি জানিয়েছেন সংগঠনের আমির জুনায়েদ বাবুনগরী।
Fearful,ফরিদপুরের সালথা উপজেলায় গত সোমবার রাতের সহিংস তাণ্ডবে ক্ষতিগ্রস্ত এলাকা আজ বৃহস্পতিবার পরিদর্শনে গেছেন আওয়ামী লীগের কেন্দ্রীয় নেতারা।
Disgust,সরকার হটানোর নামে বিএনপি ‘ধান ভানতে শিবের গীত’ গাইছে বলে মন্তব্য করেছেন আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদের।
Fearful,হেফাজতে ইসলামকে নিয়ে ফেসবুকে পোস্ট দেওয়ার অভিযোগে সুনামগঞ্জের ধরমপাশায় ঢাকা বিশ্ববিদ্যালয় (ঢাবি) ছাত্রলীগের নেতা আফজাল খানকে হেনস্তা ও আটকে রাখার ঘটনায় মামলা হয়েছে।
Surprise,ওয়াজ মাহফিলে ‘শিশু বক্তা’ হিসেবে আলোচিত রফিকুল ইসলাম মাদানীকে (২৭) আটক করেছে আইনশৃঙ্খলা রক্ষাকারী বাহিনী।
Angry,"আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদের বলেছেন, হেফাজতে ইসলাম নামের একটি উগ্র সাম্প্রদায়িক অপশক্তি দেশের বিদ্যমান স্বস্তি ও শান্তি বিনষ্টে বিভিন্ন স্থানে যে অব্যাহত তাণ্ডব চালিয়ে যাচ্ছে"
Fearful,হেফাজতে ইসলামের গত ২৮ মার্চের হরতালে নারায়ণগঞ্জে নাশকতা ও সহিংসতা সৃষ্টির অভিযোগে নারায়ণগঞ্জ সিটি করপোরেশনের ২ নম্বর ওয়ার্ডের কাউন্সিলর ইকবাল হোসেনকে আটক করেছে র‌্যাব-১১।
Fearful,হেফাজতে ইসলামের নেতা মামুনুল হককে নারায়ণগঞ্জের সোনারগাঁয়ে একটি রিসোর্টে নারীসহ ঘেরাও করার ঘটনার প্রতিবাদে চট্টগ্রামের রাঙ্গুনিয়া উপজেলায় বের করা মিছিল থেকে হামলায় আহত আওয়ামী লীগের কর্মী
Sad,হেফাজত ইসলামকে নিয়ে সামাজিক যোগাযোগমাধ্যম ফেসবুকে পোস্ট দেওয়ায় ঢাকা বিশ্ববিদ্যালয় ছাত্রলীগের এক নেতাকে পুলিশের উপস্থিতিতে জনতা হেনস্তা করেছে বলে অভিযোগ পাওয়া গেছে।
Fearful,আলেম-ওলামাদের বিরুদ্ধে কুৎসা রটানো হচ্ছে অভিযোগ করে তা বন্ধের দাবি জানিয়েছেন বাংলাদেশ খেলাফত মজলিসের আমির ইসমাইল নূরপুরী।
Angry,"বিএনপির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীর বলেছেন, করোনাকালে শুধু মালিকদের দিলেই হবে না, লকডাউনে শ্রমিকদের জন্য মাসিক সরকারি অনুদান দিতে হবে।"
Happy,"সড়ক পরিবহন ও সেতুমন্ত্রী ওবায়দুল কাদের বলেছেন, এ মুহূর্তে করোনার সংক্রমণ মোকাবিলা ও উগ্র সাম্প্রদায়িক গোষ্ঠীর অপতৎপরতা প্রতিরোধ করাই হচ্ছে সরকারের চ্যালেঞ্জ।"
Surprise,হেফাজতে ইসলাম বাংলাদেশের যুগ্ম মহাসচিব মামুনুল হকের পক্ষে ফেসবুকে পোস্ট দেওয়ায় সুনামগঞ্জ জেলা ছাত্রলীগের যুগ্ম সাধারণ সম্পাদক ফয়েজ উদ্দিন ওরফে ফয়েজ মারজানকে সংগঠন থেকে বহিষ্কার করা হয়েছে।
Sad,"ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদির সফরের বিরোধিতাকে কেন্দ্র করে বিক্ষোভ, সংঘাত ও সহিংসতায় সরকারি হিসাবে মোট ১৭ জন মারা গেছেন।"
Fearful,"ছাত্র, যুব ও শ্রম অধিকার পরিষদের সমন্বয়ক এবং ডাকসুর সাবেক ভিপি নুরুল হক দাবি করেছেন, ‘ভারতীয় অ্যাজেন্ডা’ বাস্তবায়নে প্রশাসনের লোকজন তাঁকে গুম করার চেষ্টা করেছিলেন।"
Surprise,হেফাজতে ইসলামের কেন্দ্রীয় যুগ্ম মহাসচিব মামুনুল হক ও তাঁর স্ত্রীকে সোনারগাঁয়ের একটি রিসোর্টে হেনস্তাকারীদের শাস্তির আওতায় আনার দাবি জানিয়েছে সংগঠনটি।
